fips,exp_police,pop_tot,ft_sworn,rev_prop_tax,violent.crimes,dissim_bw,dissim_wl
01001,9316230.000000002,55049,45.88888888888889,8706840,607,54.3,42.72
01007,2847150,22572,6.222222222222222,2052390.0000000002,39.111111111111114,65.22,44.52
01021,7456980.000000001,43817,14.105263157894736,10617150.000000002,227.73684210526315,65.22,44.52
01033,10491720.000000002,54377,17.344827586206897,13922730.000000002,182.20689655172413,42.04,29.43
01061,4391160.000000001,26765,8,6963030.000000001,115.05,45.25,26.05
01067,2562990.0000000005,17187,9.333333333333334,2282160.0000000005,104.66666666666666,45.25,26.05
01081,28720140.000000004,153947,79.4,50913480,924.6,33.68,24.61
01083,14771880.000000002,90257,31,15299130.000000002,133.91666666666666,49.35,40.55
01085,2465310.0000000005,10565,6.2727272727272725,3271170,68,54.3,42.72
01089,75205830,349973,69.29729729729729,128004090.00000001,1086.918918918919,49.35,40.55
01097,108014100,414291,67.53846153846153,107978580.00000001,845.3461538461538,58.99,24.85
01101,62955870,227392,220.15384615384613,58509210.00000001,990.4615384615385,54.3,42.72
01103,27250500.000000004,119555,31.566666666666666,31810380,275.23333333333335,57.77,55.18
01113,9411690,58636,56,13536450,646.625,54.75,36.61
01115,20961240,86576,13,11737140.000000002,97.3,65.22,44.52
02020,137557860.00000003,299321,167.42857142857144,537954840.0000001,2375.214285714286,41.25,29.1
02090,8808960.000000002,100150,23.5,16657770,179.4375,37.42,26.71
02170,11384160.000000002,98679,19,1694970.0000000002,95.875,41.25,29.1
04005,33221190.000000004,138064,39,37785510,441.54166666666663,28.14,29.93
04019,355455300.00000006,1003338,183.1818181818182,500635530,1498.2045454545455,34.51,46.17
04021,113642910,397604,53.255319148936174,126303570,335.02127659574467,41.31,49.34
04025,52480800,218586,34.06382978723404,63569700.00000001,173.2127659574468,16.21,24.08
04027,40814700.00000001,203292,49.76923076923077,54043680.00000001,359.3076923076923,36.02,49.53
05025,730380.0000000001,8421,5,976800.0000000001,16,61.36,29.66
05031,17552430,102884,22.65714285714286,13820610,189.54285714285714,43.28,30.81
05047,1933620.0000000002,17799,7.333333333333333,3041400,91.58333333333334,50.36,48.29
05051,16766550.000000004,97119,69.14285714285714,6644460.000000001,852.1428571428571,46.14,27.74
05053,2662890.0000000005,18046,14.5,2073480,97.625,57.97,39.73
05069,18079680,72385,45.6,13048050.000000002,550.35,61.36,29.66
05079,1179930,13935,6.5,1428570.0000000002,35.625,61.36,29.66
05087,1952490.0000000002,15761,9,1904760.0000000002,97.5,38.57,48.67
05111,5010540.000000001,24131,6.916666666666666,2328780,58.041666666666664,43.28,30.81
05119,110617050,391806,97.54545454545455,128481390.00000001,1426.4318181818182,57.97,39.73
05125,12003540,115577,42.5,18396030.000000004,386,57.97,39.73
05131,25068240,127351,55.5,31456290.000000004,713.5,50.36,48.29
05143,42302100.00000001,219930,40.1,33005850.000000007,355.975,38.57,48.67
06001,721068210.0000001,1605217,176.11111111111111,1564257510.0000002,1295.375,56.63,48.32
06007,52576260,223877,46.666666666666664,124509810.00000001,356.3333333333333,32.85,24.74
06013,436961490.00000006,1107925,93.72222222222223,873343560,541.9583333333334,56.63,48.32
06017,49906710.00000001,183000,79.33333333333333,127194900.00000001,490,54.45,38.85
06025,53488680.00000001,178807,38.57142857142857,81815880,147.85714285714286,54.97,40.91
06029,220615830.00000003,871337,86.83333333333333,557336550,918.9791666666666,50.33,52.33
06031,32672850.000000004,150261,44.75,85727520,416.375,38.91,35.58
06039,27745560,153366,52.333333333333336,63408750.00000001,554.3333333333334,55.64,48.35
06041,99067500.00000001,259358,41.57142857142857,345780540.00000006,147.1904761904762,54.13,50.11
06047,63977070.00000001,265001,47.714285714285715,112548450.00000001,447.35714285714283,32.04,30.48
06053,145186890,430201,50.6,249936480,307.01666666666665,51.63,60.91
06069,14236860,58051,29.5,38125170.00000001,243.375,38.59,47.62
06075,419481210,850282,419.4,1609085970.0000002,2398.15,54.13,50.11
06077,243166590.00000003,714860,122,364859220.00000006,1453.09375,45.2,34.06
06079,83413170.00000001,278680,39.6,253320870.00000003,211.5,47.34,28.36
06081,357275700,754748,63.184615384615384,815574720.0000001,260.3692307692308,54.13,50.11
06085,670809630,1885056,178.73333333333335,1903832040.0000002,834.05,38.59,47.62
