year_range,fips_st,fips_cnty,deaths,exp_tot,exp_correction,exp_police,rev_tot,rev_gen_ownsource,rev_int_gov,rev_prop_tax,rev_tax,pop_tot,pop_wht,pop_blk,pop_lat,pop_pct_pov,pop_pct_deep_pov,pop_med_income,pop_pc_income,violent.yr,property.yr,murder.yr,ft_sworn,cbsa,metroname
2007-2011,01,001,3,49742600,2101800,9306200,56454720,46527280,9626120,7847960,34602200,53944,41653,9755,1298,0.10878692317739919,0.050941389,66834.76,31043.4,378.25,522.5,0.3333333333333333,34.666666666666664,33860,"Montgomery, AL Metropolitan Statistical Area"
2007-2011,01,005,1,28588200,1037879.9999999999,5537840,33706920,24709480,5992920,5124920,18292480,27546,12941,12632,1344,0.2471759447379114,0.1164160910199106,42210.84,19714.76,88.66666666666667,73,0.055555556,8.666666666666666,NA,NA
2007-2011,01,007,0,13036120,80600,2421720,13601560,8257160,5344400,1883560,6363680,22746,17084,5153,375,0.156548941,0.062111801242236024,50227.44,22892.88,53.55555555555556,72.16666666666667,0.055555556,6,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area"
2007-2011,01,009,0,36644480,1703760,6853480,33338640,23612079.999999996,7676840,6288040,17807640,57140,50891,806,4475,0.13708269403735251,0.052448724053401057,56300.96,26269.4,99.07142857142857,149.35714285714286,0.071428571,11.571428571428571,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area"
2007-2011,01,011,0,10940520,0,2285320,11783720,6335160,5448560,2630040,4615280,10877,2431,7619,684,0.25991399904443385,0.1549928332537028,39624.2,25640.72,79.85714285714286,108,0.2857142857142857,7.571428571428571,NA,NA
2007-2011,01,013,1,30533760,487320,4067200,25048e3,18948440,6099560,3842759.9999999995,15601680,20860,11338,9091,91,0.25713591052759543,0.099927061,38778.52,21192.84,137.33333333333334,154.8,0.2,11.933333333333334,NA,NA
2007-2011,01,015,5,187392520,3881200,21140760,222413840,141444320,59609280,25640720,104643600,117614,86884,24103,3720,0.2041257230469022,0.089448742,48939.08,25919.72,429.60714285714283,710.8214285714286,1.3571428571428572,30.571428571428573,11500,"Anniston-Oxford, AL Metropolitan Statistical Area"
2007-2011,01,019,1,16241520,1372680,2596560,17302960,12635600,4667360,3293440,11527039.999999998,25819,23758,1283,331,0.20781836130306022,0.066614018,46912.92,26874.52,71.64285714285714,129.92857142857142,0.071428571,9.785714285714286,NA,NA
2007-2011,01,021,0,36301e3,1917040,7172160,39094720,29778600,5433680,10785520,24990960,43444,35501,4169,3052,0.17382503489995346,0.067263844,50118.32,25824.24,205.89473684210526,228.05263157894737,0.10526315789473684,14.105263157894736,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area"
2007-2011,01,023,1,13161360,0,1939360,14512960,9445080,5067880,3724960,4216e3,13953,7727,6011,37,0.20488653664902487,0.07068803,39913.12,22569.24,8.818181818181818,16.636363636363637,0,3.5454545454545454,NA,NA
2007-2011,01,025,1,33430400,1318120,5372920,34836560,26841040,5385320,3422400,22631240,26046,14088,10872,287,0.2722588144130182,0.079077877,36788.32,22904.04,82,74.8125,0.875,10.4375,NA,NA
2007-2011,01,027,1,11143880,0,2692040,11173640,6273160,4900480,2006320,4367280,14010,11228,2213,378,0.18739489654163924,0.050010967,43908.4,22672.16,98.09090909,54.72727272727273,0,8.363636363636363,NA,NA
2007-2011,01,031,0,62035960,1774440,7790920,58505680,42117840,7072960,7302360,30920640,49221,35761,8565,2921,0.17730100659349746,0.072177094,52160.6,28461.72,153.11111111111111,186.27777777777777,0.5555555555555556,19.055555555555557,NA,NA
2007-2011,01,033,1,188711880,2063360.0000000002,9896440,196416e3,68844800,23412440,15094520,43321880,54478,43457,8785,1115,0.164837614,0.060070934,49906.28,26899.32,117.15384615384616,255.03846153846155,0.11538461538461539,16.576923076923077,22520,"Florence-Muscle Shoals, AL Metropolitan Statistical Area"
