fips,state,black.men,white.men,latino.men,tot.men,ur.code,division,d.asian,d.black,d.latino,d.other,d.white,d.na,d.total
1001,AL,3397,15446,483,19710,3: medium metro,East South Central,0,0,0,0,0,0,0
1003,AL,6380,61953,3218,73125,4: small metro,East South Central,0,0,0,0,6,0,6
1005,AL,5201,5618,473,11501,6: noncore,East South Central,0,2,0,0,0,0,2
1007,AL,2426,6708,163,9541,2: large fringe metro,East South Central,0,1,0,0,0,0,1
1009,AL,357,19176,1713,21584,2: large fringe metro,East South Central,0,0,0,0,2,0,2
1011,AL,2801,1211,359,4543,6: noncore,East South Central,0,0,0,0,0,0,0
1013,AL,2726,4078,114,7032,6: noncore,East South Central,0,0,0,0,0,0,0
1015,AL,8012,32506,1393,42776,4: small metro,East South Central,0,1,1,0,9,1,12
1017,AL,4743,7588,36,12527,5: micropolitan,East South Central,0,0,0,0,1,0,1
1019,AL,494,9420,138,10214,6: noncore,East South Central,0,0,0,0,0,0,0
1021,AL,1515,13286,1185,16283,2: large fringe metro,East South Central,0,0,0,0,1,0,1
1023,AL,2056,2862,0,4949,6: noncore,East South Central,0,0,0,0,0,0,0
1025,AL,3699,5161,47,8978,6: noncore,East South Central,0,0,0,0,0,0,0
1027,AL,695,4158,146,5054,6: noncore,East South Central,0,0,0,0,0,0,0
1029,AL,153,5265,113,5584,6: noncore,East South Central,0,0,0,0,0,0,0
1031,AL,3153,14029,1140,18963,5: micropolitan,East South Central,0,0,0,0,0,0,0
1033,AL,2976,16262,436,20122,4: small metro,East South Central,0,0,0,0,3,0,3
1035,AL,1952,2703,60,4745,6: noncore,East South Central,0,1,0,0,0,0,1
1037,AL,1382,2985,131,4538,5: micropolitan,East South Central,0,0,0,0,0,0,0
1039,AL,1575,11954,216,13947,6: noncore,East South Central,0,0,0,0,1,0,1
1041,AL,1166,3737,110,5139,6: noncore,East South Central,0,0,0,0,1,0,1
1043,AL,459,28488,1132,30666,5: micropolitan,East South Central,0,0,0,0,2,0,2
1045,AL,3141,13784,984,18504,5: micropolitan,East South Central,0,0,0,0,3,0,3
1047,AL,9082,4694,90,14003,5: micropolitan,East South Central,0,3,0,0,1,0,4
1049,AL,427,21868,2941,25897,6: noncore,East South Central,0,0,0,0,1,0,1
1051,AL,6331,22121,764,29778,3: medium metro,East South Central,0,1,0,0,0,1,2
1053,AL,5270,9197,260,15309,6: noncore,East South Central,0,0,0,0,0,0,0
1055,AL,5230,30950,1228,38324,4: small metro,East South Central,0,1,0,0,2,1,4
1057,AL,779,5541,11,6416,6: noncore,East South Central,0,0,0,0,0,0,0
1059,AL,703,9379,1658,11639,6: noncore,East South Central,0,0,0,0,0,0,0
1061,AL,831,8627,300,10026,4: small metro,East South Central,0,0,0,0,0,0,0
1063,AL,2431,640,0,3071,6: noncore,East South Central,0,0,0,0,0,0,0
1065,AL,2905,2381,62,5378,4: small metro,East South Central,0,0,0,0,0,0,0
1067,AL,1669,4511,149,6383,4: small metro,East South Central,0,2,0,0,0,0,2
1069,AL,8546,26422,1111,36853,4: small metro,East South Central,0,2,0,0,2,0,4
1071,AL,675,18084,481,20011,5: micropolitan,East South Central,0,0,0,0,2,0,2
1073,AL,90124,128797,8951,233872,1: large central metro,East South Central,0,10,0,0,7,2,19
1075,AL,560,4643,42,5271,6: noncore,East South Central,0,0,0,0,0,0,0
1077,AL,3293,30014,734,34602,4: small metro,East South Central,0,0,0,0,2,1,3
1079,AL,1361,9897,291,12690,4: small metro,East South Central,0,0,0,0,1,0,1
1081,AL,11685,41073,2217,57603,4: small metro,East South Central,0,1,0,0,1,2,4
1083,AL,4900,26659,1659,34067,3: medium metro,East South Central,0,1,0,0,0,0,1
1085,AL,2722,1084,20,3826,3: medium metro,East South Central,0,0,0,0,0,0,0
1087,AL,5752,1318,149,7323,6: noncore,East South Central,0,0,0,0,0,0,0
1089,AL,28385,89042,5773,129309,3: medium metro,East South Central,0,5,0,0,5,1,11
1091,AL,3469,3527,98,7122,6: noncore,East South Central,0,0,0,0,0,0,0
1093,AL,640,10675,223,11698,6: noncore,East South Central,0,1,0,0,0,0,1
1095,AL,680,29166,3805,34494,5: micropolitan,East South Central,0,0,0,0,2,0,2
1097,AL,45800,91716,4187,147406,3: medium metro,East South Central,1,9,0,0,3,0,13
1099,AL,3075,4598,21,7798,6: noncore,East South Central,0,0,0,0,0,0,0
1101,AL,41710,33181,2633,80167,3: medium metro,East South Central,0,1,0,0,0,0,1
1103,AL,4962,35311,3188,44489,4: small metro,East South Central,0,1,0,0,0,0,1
1105,AL,2255,1248,24,3545,6: noncore,East South Central,0,0,0,0,0,0,0
1107,AL,3008,4415,39,7483,4: small metro,East South Central,0,0,0,0,0,0,0
1109,AL,4226,7685,114,12532,5: micropolitan,East South Central,0,0,0,0,0,0,0
1111,AL,1511,6512,216,8370,6: noncore,East South Central,0,0,0,0,0,0,0
1113,AL,8350,11106,948,20732,3: medium metro,East South Central,0,2,1,0,0,0,3
1115,AL,3341,28038,614,32627,2: large fringe metro,East South Central,0,1,0,0,1,0,2
1117,AL,7751,59391,4098,73593,2: large fringe metro,East South Central,0,0,0,0,2,0,2
1119,AL,3266,1294,20,4716,6: noncore,East South Central,0,0,0,0,0,0,0
1121,AL,9145,20004,796,30471,5: micropolitan,East South Central,0,2,0,0,1,0,3
1123,AL,3817,11217,352,15398,6: noncore,East South Central,0,1,0,0,2,0,3
1125,AL,19844,51206,2483,75478,4: small metro,East South Central,0,3,0,0,1,0,4
1127,AL,1353,22325,531,24628,2: large fringe metro,East South Central,0,0,0,0,0,0,0
1129,AL,1424,4288,74,6331,6: noncore,East South Central,0,0,0,0,2,0,2
1131,AL,2653,1206,0,3861,6: noncore,East South Central,0,0,0,0,0,0,0
1133,AL,67,8839,226,9335,6: noncore,East South Central,0,0,0,0,1,0,1
2013,AK,278,304,260,1968,6: noncore,Pacific,0,0,0,0,0,0,0
2016,AK,232,999,306,2914,6: noncore,Pacific,0,0,0,0,0,0,0
2020,AK,7448,76289,8499,114426,3: medium metro,Pacific,1,1,1,1,7,2,13
2050,AK,92,887,86,6032,6: noncore,Pacific,0,1,0,0,0,0,1
2060,AK,2,259,25,430,6: noncore,Pacific,0,0,0,0,0,0,0
2068,AK,13,773,24,875,6: noncore,Pacific,0,0,0,0,0,1,1
2070,AK,6,409,41,1794,6: noncore,Pacific,0,0,0,0,0,0,0
2090,AK,2145,30914,2815,40775,4: small metro,Pacific,0,0,0,5,2,0,7
2100,AK,1,875,17,1155,6: noncore,Pacific,0,0,0,0,0,0,0
2105,AK,37,513,10,968,6: noncore,Pacific,0,0,0,0,0,0,0
2110,AK,219,9075,654,12823,5: micropolitan,Pacific,0,0,0,0,0,0,0
2122,AK,208,19620,713,23275,6: noncore,Pacific,0,0,0,0,2,0,2
2130,AK,32,3882,215,5470,5: micropolitan,Pacific,0,0,0,0,0,0,0
2150,AK,46,3067,418,5437,6: noncore,Pacific,0,0,0,0,0,0,0
2158,AK,11,173,26,2517,6: noncore,Pacific,0,0,0,0,0,0,0
2164,AK,5,136,12,525,6: noncore,Pacific,0,0,0,0,0,0,0
2170,AK,443,30642,1368,36459,3: medium metro,Pacific,0,2,0,1,4,0,7
2180,AK,60,758,54,3481,6: noncore,Pacific,0,0,0,0,0,0,0
2185,AK,47,2467,188,4863,6: noncore,Pacific,0,0,0,1,0,0,1
2188,AK,10,472,38,2730,6: noncore,Pacific,0,0,0,0,1,0,1
2195,AK,63,941,137,1337,6: noncore,Pacific,0,0,0,0,0,0,0
2198,AK,8,1386,57,2651,6: noncore,Pacific,0,0,0,0,0,0,0
2220,AK,50,2359,184,3503,6: noncore,Pacific,0,0,0,0,0,0,0
2230,AK,0,349,33,473,6: noncore,Pacific,0,0,0,0,0,0,0
2240,AK,12,2368,105,2920,6: noncore,Pacific,0,0,0,0,0,0,0
2261,AK,0,2951,196,3924,6: noncore,Pacific,0,0,0,0,0,0,0
2275,AK,5,699,17,989,6: noncore,Pacific,0,0,0,0,0,0,0
2282,AK,9,138,0,303,6: noncore,Pacific,0,0,0,0,0,0,0
2290,AK,5,588,46,2242,6: noncore,Pacific,0,0,0,0,0,0,0
4001,AZ,171,5587,1576,25009,6: noncore,Mountain,0,0,0,2,3,0,5
4003,AZ,2591,31775,14887,51235,4: small metro,Mountain,0,0,4,0,2,0,6
4005,AZ,1031,31493,6484,52133,4: small metro,Mountain,0,0,0,2,3,0,5
4007,AZ,164,14306,3451,20816,5: micropolitan,Mountain,0,0,1,0,0,0,1
4009,AZ,637,7473,4842,14796,5: micropolitan,Mountain,0,0,0,0,0,0,0
4011,AZ,58,1696,1461,3319,6: noncore,Mountain,0,0,0,0,1,0,1
4012,AZ,40,5737,1869,8569,6: noncore,Mountain,0,0,1,1,0,0,2
4013,AZ,75512,912427,383554,1467253,1: large central metro,Mountain,0,15,53,3,74,7,152
4015,AZ,1259,66640,11550,82569,4: small metro,Mountain,0,0,1,0,10,0,11
4017,AZ,449,18044,4333,38400,5: micropolitan,Mountain,0,0,1,1,3,0,5
4019,AZ,15178,223560,116141,378532,3: medium metro,Mountain,0,6,23,0,12,5,46
4021,AZ,7607,92442,41863,153071,2: large fringe metro,Mountain,0,1,3,0,5,0,9
4023,AZ,73,3267,12074,15621,5: micropolitan,Mountain,0,0,0,0,0,0,0
4025,AZ,611,72285,10033,86019,4: small metro,Mountain,0,0,0,0,11,1,12
4027,AZ,2353,30535,41270,76530,4: small metro,Mountain,0,0,1,0,2,1,4
5001,AR,1499,5034,221,6851,6: noncore,West South Central,0,0,0,0,0,0,0
5003,AR,1779,5491,363,7699,6: noncore,West South Central,0,0,0,0,0,0,0
5005,AR,57,15336,273,16129,5: micropolitan,West South Central,0,0,0,0,0,0,0
5007,AR,1406,65624,12052,84832,3: medium metro,West South Central,0,0,0,0,0,0,0
5009,AR,46,13225,276,13858,5: micropolitan,West South Central,0,0,0,0,0,0,0
5011,AR,1155,2442,513,4110,6: noncore,West South Central,0,0,0,0,0,0,0
5013,AR,440,1644,28,2133,5: micropolitan,West South Central,0,0,0,0,0,0,0
5015,AR,46,8853,1267,10502,6: noncore,West South Central,0,0,0,0,0,0,0
5017,AR,2111,1875,182,4240,6: noncore,West South Central,0,0,0,0,0,0,0
5019,AR,1859,6324,278,8567,5: micropolitan,West South Central,0,0,0,0,0,0,0
5021,AR,31,5668,135,5902,6: noncore,West South Central,0,0,0,0,1,0,1
5023,AR,50,9653,236,10222,6: noncore,West South Central,0,0,0,0,0,0,0
5025,AR,304,2750,27,3132,4: small metro,West South Central,0,0,0,0,0,0,0
5027,AR,2770,5659,210,8902,5: micropolitan,West South Central,0,0,0,0,0,1,1
5029,AR,899,6570,231,7908,6: noncore,West South Central,0,0,0,0,0,0,0
5031,AR,3941,29895,1635,36403,4: small metro,West South Central,0,0,0,0,2,0,2
5033,AR,268,19732,1206,22294,3: medium metro,West South Central,0,0,0,0,2,0,2
5035,AR,7585,8305,402,16535,2: large fringe metro,West South Central,0,1,1,0,0,0,2
5037,AR,1285,4785,89,6228,6: noncore,West South Central,0,0,0,0,0,0,0
5039,AR,1131,1629,34,2850,6: noncore,West South Central,0,0,0,0,0,0,0
5041,AR,1852,2159,165,4202,6: noncore,West South Central,0,0,0,0,0,0,0
5043,AR,1908,4796,152,6937,6: noncore,West South Central,0,1,0,0,0,0,1
5045,AR,4326,36492,1613,43747,3: medium metro,West South Central,0,0,0,0,0,0,0
5047,AR,102,6276,155,6629,6: noncore,West South Central,0,0,0,0,1,0,1
5049,AR,4,4571,68,4738,6: noncore,West South Central,0,0,0,0,0,0,0
5051,AR,2756,31122,1621,36504,4: small metro,West South Central,0,0,0,0,2,0,2
5053,AR,206,6327,94,6741,3: medium metro,West South Central,0,1,0,0,0,0,1
5055,AR,191,15114,354,16038,5: micropolitan,West South Central,0,0,0,0,2,0,2
5057,AR,2145,4763,783,7748,6: noncore,West South Central,0,0,0,0,0,0,0
5059,AR,1667,11179,394,13445,5: micropolitan,West South Central,0,0,0,0,1,0,1
5061,AR,925,3373,420,4769,6: noncore,West South Central,0,0,0,0,0,0,0
5063,AR,264,12290,703,13447,5: micropolitan,West South Central,0,0,1,0,0,1,2
5065,AR,154,5366,112,5681,6: noncore,West South Central,0,0,0,0,1,0,1
5067,AR,1194,5440,132,6891,6: noncore,West South Central,0,0,0,0,0,0,0
5069,AR,13842,12454,468,27287,4: small metro,West South Central,0,3,0,0,0,0,3
5071,AR,277,8041,1111,9728,6: noncore,West South Central,1,0,0,0,0,0,1
5073,AR,947,1743,15,2727,6: noncore,West South Central,0,0,0,0,0,0,0
5075,AR,36,6100,77,6292,6: noncore,West South Central,0,0,0,0,1,0,1
5077,AR,2372,2101,111,4591,6: noncore,West South Central,0,0,0,0,0,0,0
5079,AR,2775,4305,235,7322,4: small metro,West South Central,0,0,0,0,0,0,0
5081,AR,858,3570,126,4647,4: small metro,West South Central,0,0,0,0,0,0,0
5083,AR,156,7696,210,8375,6: noncore,West South Central,0,0,0,0,0,0,0
5085,AR,1379,22262,937,25176,3: medium metro,West South Central,0,0,0,0,3,0,3
5087,AR,22,5524,230,5949,3: medium metro,West South Central,0,0,0,0,0,0,0
5089,AR,14,6411,122,6731,6: noncore,West South Central,0,0,0,0,1,0,1
5091,AR,3479,11803,452,16043,4: small metro,West South Central,0,0,0,0,0,0,0
5093,AR,4707,10124,541,15603,5: micropolitan,West South Central,0,1,0,0,1,0,2
5095,AR,1047,1678,50,2816,6: noncore,West South Central,0,0,0,0,0,0,0
5097,AR,29,3416,50,3642,6: noncore,West South Central,0,0,0,0,1,0,1
5099,AR,945,2176,39,3223,6: noncore,West South Central,0,0,0,0,0,0,0
5101,AR,0,3039,24,3192,5: micropolitan,West South Central,0,0,0,0,0,0,0
5103,AR,3269,5403,148,8924,5: micropolitan,West South Central,0,0,0,0,0,0,0
5105,AR,128,3697,65,3967,3: medium metro,West South Central,0,0,0,0,1,0,1
5107,AR,3736,2775,60,6678,5: micropolitan,West South Central,0,0,0,0,1,0,1
5109,AR,161,3665,223,4120,6: noncore,West South Central,0,0,0,0,0,0,0
5111,AR,649,7947,185,8842,4: small metro,West South Central,0,0,0,0,0,0,0
5113,AR,16,6842,371,7484,6: noncore,West South Central,0,0,0,0,1,0,1
5115,AR,761,20723,1707,23948,5: micropolitan,West South Central,0,0,0,0,3,0,3
5117,AR,323,2809,50,3229,6: noncore,West South Central,0,0,0,0,0,0,0
5119,AR,43626,83236,8277,140126,3: medium metro,West South Central,0,13,0,0,6,0,19
5121,AR,65,6334,104,6608,6: noncore,West South Central,0,0,0,0,1,0,1
5123,AR,5447,5108,915,11762,5: micropolitan,West South Central,0,0,0,0,0,0,0
5125,AR,2178,37452,1414,41966,3: medium metro,West South Central,0,1,0,0,4,0,5
5127,AR,5,3528,250,4056,6: noncore,West South Central,0,0,0,0,0,0,0
5129,AR,10,2964,56,3089,6: noncore,West South Central,0,0,0,0,2,0,2
5131,AR,2909,34564,5226,46258,3: medium metro,West South Central,0,0,0,0,1,0,1
5133,AR,264,3883,1700,6013,6: noncore,West South Central,0,0,0,0,0,0,0
5135,AR,21,6215,86,6500,6: noncore,West South Central,0,0,0,0,0,0,0
5137,AR,5,4680,70,4878,6: noncore,West South Central,0,0,0,0,0,0,0
5139,AR,4359,9691,454,14739,5: micropolitan,West South Central,0,1,0,0,1,0,2
5141,AR,53,6333,203,6692,6: noncore,West South Central,0,0,0,0,0,0,0
5143,AR,2788,61159,10747,80261,3: medium metro,West South Central,0,2,0,0,4,0,6
5145,AR,1217,26011,1069,29011,5: micropolitan,West South Central,0,0,0,0,3,0,3
5147,AR,706,1846,5,2577,6: noncore,West South Central,0,0,0,0,0,0,0
5149,AR,128,6362,1333,7940,5: micropolitan,West South Central,0,0,0,0,0,0,0
6001,CA,66549,220137,125333,601452,1: large central metro,Pacific,2,27,8,0,13,1,51
6003,CA,0,339,37,492,6: noncore,Pacific,0,0,0,0,0,0,0
6005,CA,814,13091,2391,17081,6: noncore,Pacific,0,0,0,0,0,0,0
6007,CA,1503,66570,11673,86878,4: small metro,Pacific,1,1,2,0,7,0,11
6009,CA,117,15333,1819,18001,6: noncore,Pacific,0,0,0,0,1,0,1
6011,CA,105,3245,4210,7949,6: noncore,Pacific,0,0,0,0,0,0,0
6013,CA,32926,201547,91504,401739,2: large fringe metro,Pacific,0,5,5,1,6,0,17
6015,CA,727,7323,2832,12290,5: micropolitan,Pacific,0,0,0,0,1,0,1
6017,CA,754,58363,7487,71079,2: large fringe metro,Pacific,0,1,0,0,2,0,3
6019,CA,16986,117962,161226,335584,3: medium metro,Pacific,2,4,20,1,10,0,37
6021,CA,164,5912,3667,10220,6: noncore,Pacific,0,0,0,0,0,0,0
6023,CA,952,42895,4900,54086,5: micropolitan,Pacific,0,1,0,0,5,0,6
6025,CA,3736,10235,49306,64993,4: small metro,Pacific,0,1,5,0,0,0,6
6027,CA,113,5139,1202,7258,6: noncore,Pacific,0,0,0,0,0,0,0
6029,CA,19232,126391,148357,314427,3: medium metro,Pacific,1,3,21,1,14,2,42
6031,CA,5769,22979,30058,62976,4: small metro,Pacific,0,0,2,1,2,0,5
6033,CA,670,19259,3912,25364,5: micropolitan,Pacific,0,0,0,0,3,0,3
6035,CA,2654,10306,5106,19272,5: micropolitan,Pacific,0,0,0,0,0,0,0
6037,CA,299098,1157275,1681558,3758695,1: large central metro,Pacific,13,63,151,1,59,3,290
6039,CA,1243,21636,27011,52219,4: small metro,Pacific,0,0,2,0,2,0,4
6041,CA,3430,73094,15144,99495,2: large fringe metro,Pacific,1,0,0,0,0,0,1
6043,CA,123,6230,656,7501,6: noncore,Pacific,0,0,0,0,0,0,0
