year,race,sex,age,pop
1991,amind,Female,0,22465
1991,amind,Female,1-4,84894
1991,amind,Female,10-14,97299
1991,amind,Female,15-19,91647
1991,amind,Female,20-24,86044
1991,amind,Female,25-29,92740
1991,amind,Female,30-34,92130
1991,amind,Female,35-39,81299
1991,amind,Female,40-44,68097
1991,amind,Female,45-49,51248
1991,amind,Female,5-9,103573
1991,amind,Female,50-54,40758
1991,amind,Female,55-59,33026
1991,amind,Female,60-64,27617
1991,amind,Female,65-69,23149
1991,amind,Female,70-74,16503
1991,amind,Female,75-79,12407
1991,amind,Female,80-84,7206
1991,amind,Female,85+,5631
1991,amind,Male,0,22924
1991,amind,Male,1-4,88128
1991,amind,Male,10-14,101011
1991,amind,Male,15-19,97994
1991,amind,Male,20-24,92974
1991,amind,Male,25-29,93999
1991,amind,Male,30-34,88321
1991,amind,Male,35-39,76609
1991,amind,Male,40-44,64706
1991,amind,Male,45-49,48463
1991,amind,Male,5-9,106740
1991,amind,Male,50-54,37881
1991,amind,Male,55-59,30103
1991,amind,Male,60-64,24519
1991,amind,Male,65-69,19116
1991,amind,Male,70-74,12296
1991,amind,Male,75-79,8099
1991,amind,Male,80-84,4156
1991,amind,Male,85+,2954
1991,asian,Female,0,68661
1991,asian,Female,1-4,250910
1991,asian,Female,10-14,283806
1991,asian,Female,15-19,303932
1991,asian,Female,20-24,327877
1991,asian,Female,25-29,370656
1991,asian,Female,30-34,390906
1991,asian,Female,35-39,362715
1991,asian,Female,40-44,314094
1991,asian,Female,45-49,214943
1991,asian,Female,5-9,306438
1991,asian,Female,50-54,163833
1991,asian,Female,55-59,139975
1991,asian,Female,60-64,127355
1991,asian,Female,65-69,101877
1991,asian,Female,70-74,69141
1991,asian,Female,75-79,44390
1991,asian,Female,80-84,22565
1991,asian,Female,85+,17105
1991,asian,Male,0,71908
1991,asian,Male,1-4,262634
1991,asian,Male,10-14,294956
1991,asian,Male,15-19,325498
1991,asian,Male,20-24,351974
1991,asian,Male,25-29,366030
1991,asian,Male,30-34,365484
1991,asian,Male,35-39,326764
1991,asian,Male,40-44,275199
1991,asian,Male,45-49,198863
1991,asian,Male,5-9,315785
1991,asian,Male,50-54,154549
1991,asian,Male,55-59,116152
1991,asian,Male,60-64,96363
1991,asian,Male,65-69,81571
1991,asian,Male,70-74,55638
1991,asian,Male,75-79,37408
1991,asian,Male,80-84,20931
1991,asian,Male,85+,12031
1991,black,Female,0,313730
1991,black,Female,1-4,1152740
1991,black,Female,10-14,1314510
1991,black,Female,15-19,1343029
1991,black,Female,20-24,1355988
1991,black,Female,25-29,1456147
1991,black,Female,30-34,1455217
1991,black,Female,35-39,1275606
1991,black,Female,40-44,1030654
1991,black,Female,45-49,772507
1991,black,Female,5-9,1345207
1991,black,Female,50-54,651506
1991,black,Female,55-59,581753
1991,black,Female,60-64,554445
1991,black,Female,65-69,499238
1991,black,Female,70-74,387485
1991,black,Female,75-79,305694
1991,black,Female,80-84,191389
1991,black,Female,85+,158614
1991,black,Male,0,320671
1991,black,Male,1-4,1179597
1991,black,Male,10-14,1341956
1991,black,Male,15-19,1369464
1991,black,Male,20-24,1300354
1991,black,Male,25-29,1323717
1991,black,Male,30-34,1277693
1991,black,Male,35-39,1104870
1991,black,Male,40-44,883161
1991,black,Male,45-49,648805
1991,black,Male,5-9,1377465
1991,black,Male,50-54,534120
1991,black,Male,55-59,461282
1991,black,Male,60-64,419503
1991,black,Male,65-69,361145
1991,black,Male,70-74,254781
1991,black,Male,75-79,179086
1991,black,Male,80-84,98535
1991,black,Male,85+,66681
1991,latino,Female,0,248463
1991,latino,Female,1-4,861881
1991,latino,Female,10-14,899391
1991,latino,Female,15-19,897908
1991,latino,Female,20-24,962742
1991,latino,Female,25-29,1003265
1991,latino,Female,30-34,904708
1991,latino,Female,35-39,743162
1991,latino,Female,40-44,593878
1991,latino,Female,45-49,441565
1991,latino,Female,5-9,979687
1991,latino,Female,50-54,359830
1991,latino,Female,55-59,309152
1991,latino,Female,60-64,276870
1991,latino,Female,65-69,222583
1991,latino,Female,70-74,154856
1991,latino,Female,75-79,121058
1991,latino,Female,80-84,75754
1991,latino,Female,85+,56527
1991,latino,Male,0,258087
1991,latino,Male,1-4,899914
1991,latino,Male,10-14,941593
1991,latino,Male,15-19,1012036
1991,latino,Male,20-24,1167666
1991,latino,Male,25-29,1153314
1991,latino,Male,30-34,985296
1991,latino,Male,35-39,772784
1991,latino,Male,40-44,591534
1991,latino,Male,45-49,423917
1991,latino,Male,5-9,1020713
1991,latino,Male,50-54,334191
1991,latino,Male,55-59,277255
1991,latino,Male,60-64,236962
1991,latino,Male,65-69,181950
1991,latino,Male,70-74,112139
1991,latino,Male,75-79,77293
1991,latino,Male,80-84,45360
1991,latino,Male,85+,30463
1991,white,Female,0,1293659
1991,white,Female,1-4,4909416
1991,white,Female,10-14,5800667
1991,white,Female,15-19,6018993
1991,white,Female,20-24,6663600
1991,white,Female,25-29,7671982
1991,white,Female,30-34,8173775
1991,white,Female,35-39,7618645
1991,white,Female,40-44,7006978
1991,white,Female,45-49,5567011
1991,white,Female,5-9,6087999
1991,white,Female,50-54,4635698
1991,white,Female,55-59,4407390
1991,white,Female,60-64,4686824
1991,white,Female,65-69,4718047
1991,white,Female,70-74,3973189
1991,white,Female,75-79,3252800
1991,white,Female,80-84,2274039
1991,white,Female,85+,1970687
1991,white,Male,0,1365920
1991,white,Male,1-4,5179845
1991,white,Male,10-14,6137698
1991,white,Male,15-19,6311092
1991,white,Male,20-24,6841167
1991,white,Male,25-29,7745197
1991,white,Male,30-34,8205243
1991,white,Male,35-39,7627841
1991,white,Male,40-44,6964641
1991,white,Male,45-49,5461694
1991,white,Male,5-9,6433139
1991,white,Male,50-54,4465396
1991,white,Male,55-59,4122071
1991,white,Male,60-64,4173024
1991,white,Male,65-69,3870247
1991,white,Male,70-74,2989035
1991,white,Male,75-79,2108761
1991,white,Male,80-84,1196762
1991,white,Male,85+,738907
1992,amind,Female,0,20392
1992,amind,Female,1-4,88832
1992,amind,Female,10-14,102954
1992,amind,Female,15-19,91923
1992,amind,Female,20-24,88674
1992,amind,Female,25-29,92101
1992,amind,Female,30-34,94789
1992,amind,Female,35-39,85636
1992,amind,Female,40-44,72451
1992,amind,Female,45-49,54247
1992,amind,Female,5-9,107970
1992,amind,Female,50-54,42688
1992,amind,Female,55-59,34070
1992,amind,Female,60-64,28300
1992,amind,Female,65-69,23481
1992,amind,Female,70-74,17202
1992,amind,Female,75-79,12581
1992,amind,Female,80-84,7487
1992,amind,Female,85+,6010
1992,amind,Male,0,20622
1992,amind,Male,1-4,92190
1992,amind,Male,10-14,106440
1992,amind,Male,15-19,96937
