year_range,fips_st,fips_cnty,deaths,exp_tot,exp_correction,exp_police,exp_welfare,rev_tot,rev_fines,rev_gen_ownsource,rev_int_gov,rev_prop_tax,rev_tax,pop_tot,pop_pct_men_15_34,pop_wht,pop_blk,pop_ami,pop_api,pop_lat,pop_pct_pov,pop_pct_deep_pov,pop_med_income,pop_pc_income,violent.yr,property.yr,murder.yr,ft_sworn,cbsa,metroname,dissim_bw,dissim_wl
2007-2011,01,001,3,49742600,2101800,9306200,636120,56454720,538160,46527280,9626120,7847960,34602200,53944,0.1274284443126205,41653,9755,114,385,1298,0.10878692317739919,0.05094138941240134,66834.76,31043.4,378.25,522.5,0.3333333333333333,34.666666666666664,33860,"Montgomery, AL Metropolitan Statistical Area",54.3,42.72
2007-2011,01,005,1,28588200,1037879.9999999999,5537840,29759.999999999996,33706920,617520,24709480,5992920,5124920,18292480,27546,0.15889784360705728,12941,12632,92,147,1344,0.2471759447379114,0.1164160910199106,42210.84,19714.76,88.66666666666667,73,0.05555555555555555,8.666666666666666,NA,NA,NA,NA
2007-2011,01,007,0,13036120,80600,2421720,2480,13601560,124e3,8257160,5344400,1883560,6363680,22746,0.12872592983381692,17084,5153,77,12,375,0.156548941379154,0.062111801242236024,50227.44,22892.88,53.55555555555556,72.16666666666667,0.05555555555555555,6,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",65.22,44.52
2007-2011,01,009,0,36644480,1703760,6853480,168640,33338640,652240,23612079.999999996,7676840,6288040,17807640,57140,0.12779138956947847,50891,806,342,48,4475,0.13708269403735251,0.052448724053401057,56300.96,26269.4,99.07142857142857,149.35714285714286,0.07142857142857142,11.571428571428571,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",65.22,44.52
2007-2011,01,011,0,10940520,0,2285320,297600,11783720,64480.00000000001,6335160,5448560,2630040,4615280,10877,0.14581226441114278,2431,7619,18,18,684,0.25991399904443385,0.1549928332537028,39624.2,25640.72,79.85714285714286,108,0.2857142857142857,7.571428571428571,NA,NA,NA,NA
2007-2011,01,013,1,30533760,487320,4067200,358360,25048e3,111600,18948440,6099560,3842759.9999999995,15601680,20860,0.11668264621284756,11338,9091,30,164,91,0.25713591052759543,0.099927060539752,38778.52,21192.84,137.33333333333334,154.8,0.2,11.933333333333334,NA,NA,NA,NA
2007-2011,01,015,5,187392520,3881200,21140760,996960,222413840,1574800,141444320,59609280,25640720,104643600,117614,0.1340401652864455,86884,24103,330,844,3720,0.2041257230469022,0.0894487420726183,48939.08,25919.72,429.60714285714283,710.8214285714286,1.3571428571428572,30.571428571428573,11500,"Anniston-Oxford, AL Metropolitan Statistical Area",44.24,32.4
2007-2011,01,019,1,16241520,1372680,2596560,142600,17302960,78120,12635600,4667360,3293440,11527039.999999998,25819,0.10891204151981099,23758,1283,181,60,331,0.20781836130306022,0.06661401776900296,46912.92,26874.52,71.64285714285714,129.92857142857142,0.07142857142857142,9.785714285714286,NA,NA,NA,NA
2007-2011,01,021,0,36301e3,1917040,7172160,47120,39094720,802280,29778600,5433680,10785520,24990960,43444,0.13083509805726912,35501,4169,253,103,3052,0.17382503489995346,0.06726384364820846,50118.32,25824.24,205.89473684210526,228.05263157894737,0.10526315789473684,14.105263157894736,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",65.22,44.52
2007-2011,01,023,1,13161360,0,1939360,1240,14512960,43400,9445080,5067880,3724960,4216e3,13953,0.09854511574571777,7727,6011,0,45,37,0.20488653664902487,0.0706880301602262,39913.12,22569.24,8.818181818181818,16.636363636363637,0,3.5454545454545454,NA,NA,NA,NA
2007-2011,01,025,1,33430400,1318120,5372920,58280,34836560,548080,26841040,5385320,3422400,22631240,26046,0.11333794056668971,14088,10872,492,107,287,0.2722588144130182,0.0790778767919411,36788.32,22904.04,82,74.8125,0.875,10.4375,NA,NA,NA,NA
2007-2011,01,027,1,11143880,0,2692040,69440,11173640,70679.99999999999,6273160,4900480,2006320,4367280,14010,0.11063526052819414,11228,2213,21,0,378,0.18739489654163924,0.05001096731739416,43908.4,22672.16,98.0909090909091,54.72727272727273,0,8.363636363636363,NA,NA,NA,NA
2007-2011,01,031,0,62035960,1774440,7790920,851880,58505680,362080,42117840,7072960,7302360,30920640,49221,0.13640519290546718,35761,8565,441,548,2921,0.17730100659349746,0.07217709431388356,52160.6,28461.72,153.11111111111111,186.27777777777777,0.5555555555555556,19.055555555555557,NA,NA,NA,NA
2007-2011,01,033,1,188711880,2063360.0000000002,9896440,465e3,196416e3,1181720,68844800,23412440,15094520,43321880,54478,0.114504937773046,43457,8785,326,208,1115,0.164837613503426,0.06007093383841197,49906.28,26899.32,117.15384615384616,255.03846153846155,0.11538461538461539,16.576923076923077,22520,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",42.04,29.43
2007-2011,01,037,0,12050320,0,1826520,256680,12543840,48360,6002840,5286120,1726080,4069680,11303,0.11315579934530656,7418,3598,0,0,196,0.18796855000914245,0.09224721155604315,46116.84,24757.84,68.625,98.75,0.25,5.125,NA,NA,NA,NA
2007-2011,01,041,0,19972680,2218360,1884800,158720,19692440,565439.9999999999,9290080,4405720,3065280,5570080,13938,0.12239919644138327,9984,3131,101,180,193,0.16927102260338686,0.06824623882549603,47170.84,27271.32,84.2,93.10000000000001,0.1,6.6,NA,NA,NA,NA
2007-2011,01,047,0,54253720,0,15860840,265360,54972920,0,43159440,11813480,12232600,35137880,43868,0.11623506884289231,12911,30207,42,155,316,0.34697123363451965,0.15809976028028766,33367.159999999996,21401.16,1300.5714285714287,1214.5714285714287,2.571428571428571,38.85714285714286,NA,NA,NA,NA
2007-2011,01,051,3,52205240,2458920,8614280,16120.000000000002,54021840,1024240,40637280,7907480,7671880,28378640,78641,0.1372057832428377,58959,15757,317,426,2071,0.12395691093915946,0.05383374022427277,67990.44,29546.72,179.68421052631578,265.42105263157896,0.42105263157894735,16.210526315789473,33860,"Montgomery, AL Metropolitan Statistical Area",54.3,42.72
2007-2011,01,053,3,42895320,1530160,8020320,16120.000000000002,45893640,772520,28335240,6074760,4502440,22254280,38081,0.14474409810666736,23439,12088,1423,155,733,0.23712714075082228,0.12702733356016785,39231.12,20471.16,139.30434782608697,182.65217391304347,0.3913043478260869,19.956521739130434,NA,NA,NA,NA
2007-2011,01,055,4,153528120,4220960,25893680,518320.00000000006,160819320,1770720,133951e3,18014720,17152920,108633920,104216,0.12267789974667997,82881,15687,346,747,3371,0.17984029399978496,0.06881823424198294,46837.28,25814.32,345,492.37931034482756,0.5862068965517242,28.137931034482758,23460,"Gadsden, AL Metropolitan Statistical Area",66.37,43.94
