fips,state,pop,deaths,race.ethn
1001,AL,483,0,latino
1003,AL,3218,0,latino
1005,AL,473,0,latino
1007,AL,163,0,latino
1009,AL,1713,0,latino
1011,AL,359,0,latino
1013,AL,114,0,latino
1015,AL,1393,1,latino
1017,AL,36,0,latino
1019,AL,138,0,latino
1021,AL,1185,0,latino
1023,AL,0,0,latino
1025,AL,47,0,latino
1027,AL,146,0,latino
1029,AL,113,0,latino
1031,AL,1140,0,latino
1033,AL,436,0,latino
1035,AL,60,0,latino
1037,AL,131,0,latino
1039,AL,216,0,latino
1041,AL,110,0,latino
1043,AL,1132,0,latino
1045,AL,984,0,latino
1047,AL,90,0,latino
1049,AL,2941,0,latino
1051,AL,764,0,latino
1053,AL,260,0,latino
1055,AL,1228,0,latino
1057,AL,11,0,latino
1059,AL,1658,0,latino
1061,AL,300,0,latino
1063,AL,0,0,latino
1065,AL,62,0,latino
1067,AL,149,0,latino
1069,AL,1111,0,latino
1071,AL,481,0,latino
1073,AL,8951,0,latino
1075,AL,42,0,latino
1077,AL,734,0,latino
1079,AL,291,0,latino
1081,AL,2217,0,latino
1083,AL,1659,0,latino
1085,AL,20,0,latino
1087,AL,149,0,latino
1089,AL,5773,0,latino
1091,AL,98,0,latino
1093,AL,223,0,latino
1095,AL,3805,0,latino
1097,AL,4187,0,latino
1099,AL,21,0,latino
1101,AL,2633,0,latino
1103,AL,3188,0,latino
1105,AL,24,0,latino
1107,AL,39,0,latino
1109,AL,114,0,latino
1111,AL,216,0,latino
1113,AL,948,1,latino
1115,AL,614,0,latino
1117,AL,4098,0,latino
1119,AL,20,0,latino
1121,AL,796,0,latino
1123,AL,352,0,latino
1125,AL,2483,0,latino
1127,AL,531,0,latino
1129,AL,74,0,latino
1131,AL,0,0,latino
1133,AL,226,0,latino
2013,AK,260,0,latino
2016,AK,306,0,latino
2020,AK,8499,1,latino
2050,AK,86,0,latino
2060,AK,25,0,latino
2068,AK,24,0,latino
2070,AK,41,0,latino
2090,AK,2815,0,latino
2100,AK,17,0,latino
2105,AK,10,0,latino
2110,AK,654,0,latino
2122,AK,713,0,latino
2130,AK,215,0,latino
2150,AK,418,0,latino
2158,AK,26,0,latino
2164,AK,12,0,latino
2170,AK,1368,0,latino
2180,AK,54,0,latino
2185,AK,188,0,latino
2188,AK,38,0,latino
2195,AK,137,0,latino
2198,AK,57,0,latino
2220,AK,184,0,latino
2230,AK,33,0,latino
2240,AK,105,0,latino
2261,AK,196,0,latino
2275,AK,17,0,latino
2282,AK,0,0,latino
2290,AK,46,0,latino
4001,AZ,1576,0,latino
4003,AZ,14887,4,latino
4005,AZ,6484,0,latino
4007,AZ,3451,1,latino
4009,AZ,4842,0,latino
4011,AZ,1461,0,latino
4012,AZ,1869,1,latino
4013,AZ,383554,53,latino
4015,AZ,11550,1,latino
4017,AZ,4333,1,latino
4019,AZ,116141,23,latino
4021,AZ,41863,3,latino
4023,AZ,12074,0,latino
4025,AZ,10033,0,latino
4027,AZ,41270,1,latino
5001,AR,221,0,latino
5003,AR,363,0,latino
5005,AR,273,0,latino
5007,AR,12052,0,latino
5009,AR,276,0,latino
5011,AR,513,0,latino
5013,AR,28,0,latino
5015,AR,1267,0,latino
5017,AR,182,0,latino
5019,AR,278,0,latino
5021,AR,135,0,latino
5023,AR,236,0,latino
5025,AR,27,0,latino
5027,AR,210,0,latino
5029,AR,231,0,latino
5031,AR,1635,0,latino
5033,AR,1206,0,latino
5035,AR,402,1,latino
5037,AR,89,0,latino
5039,AR,34,0,latino
5041,AR,165,0,latino
5043,AR,152,0,latino
5045,AR,1613,0,latino
5047,AR,155,0,latino
5049,AR,68,0,latino
5051,AR,1621,0,latino
5053,AR,94,0,latino
5055,AR,354,0,latino
5057,AR,783,0,latino
5059,AR,394,0,latino
5061,AR,420,0,latino
5063,AR,703,1,latino
5065,AR,112,0,latino
5067,AR,132,0,latino
5069,AR,468,0,latino
5071,AR,1111,0,latino
5073,AR,15,0,latino
5075,AR,77,0,latino
5077,AR,111,0,latino
5079,AR,235,0,latino
5081,AR,126,0,latino
5083,AR,210,0,latino
5085,AR,937,0,latino
5087,AR,230,0,latino
5089,AR,122,0,latino
5091,AR,452,0,latino
5093,AR,541,0,latino
5095,AR,50,0,latino
5097,AR,50,0,latino
5099,AR,39,0,latino
5101,AR,24,0,latino
5103,AR,148,0,latino
5105,AR,65,0,latino
5107,AR,60,0,latino
5109,AR,223,0,latino
5111,AR,185,0,latino
5113,AR,371,0,latino
5115,AR,1707,0,latino
5117,AR,50,0,latino
5119,AR,8277,0,latino
5121,AR,104,0,latino
5123,AR,915,0,latino
5125,AR,1414,0,latino
5127,AR,250,0,latino
5129,AR,56,0,latino
5131,AR,5226,0,latino
5133,AR,1700,0,latino
5135,AR,86,0,latino
5137,AR,70,0,latino
5139,AR,454,0,latino
5141,AR,203,0,latino
5143,AR,10747,0,latino
5145,AR,1069,0,latino
5147,AR,5,0,latino
5149,AR,1333,0,latino
6001,CA,125333,8,latino
6003,CA,37,0,latino
6005,CA,2391,0,latino
6007,CA,11673,2,latino
6009,CA,1819,0,latino
6011,CA,4210,0,latino
6013,CA,91504,5,latino
6015,CA,2832,0,latino
6017,CA,7487,0,latino
6019,CA,161226,20,latino
6021,CA,3667,0,latino
6023,CA,4900,0,latino
6025,CA,49306,5,latino
6027,CA,1202,0,latino
6029,CA,148357,21,latino
6031,CA,30058,2,latino
6033,CA,3912,0,latino
6035,CA,5106,0,latino
6037,CA,1681558,151,latino
